series_name,season,title,imdb,engagement,date_aired,run_time,monster_type
Scooby-Doo Mystery Incorporated,2,The Night the Clown Cried II - Tears of Doom,8.4,197.0,2012-08-01,23,Disguised
Scooby-Doo Mystery Incorporated,2,Web of the Dreamweaver!,8.2,192.0,2012-08-02,23,Magician
Scooby-Doo Mystery Incorporated,2,The Hodag of Horror,8.4,188.0,2012-08-03,23,Animal
Scooby-Doo Mystery Incorporated,2,Art of Darkness,7.7,177.0,2012-08-06,23,Mechanical
Scooby-Doo Mystery Incorporated,2,The Gathering Gloom,8.2,172.0,2012-08-07,22,Undead
Scooby-Doo Mystery Incorporated,2,Night on Haunted Mountain,8.3,183.0,2012-08-08,23,Mythical
Scooby-Doo Mystery Incorporated,2,Grrim Judgment,8.3,176.0,2012-08-09,23,Undead
Scooby-Doo Mystery Incorporated,2,Night Terrors,9.1,202.0,2012-08-10,23,Mythical
Scooby-Doo Mystery Incorporated,2,The Midnight Zone,8.7,187.0,2012-08-13,22,"Mechanical,Ghost"
Scooby-Doo Mystery Incorporated,2,Scarebear,8.2,169.0,2012-08-14,23,Animal
Scooby-Doo Mystery Incorporated,2,Wrath of the Krampus,8.9,207.0,2012-08-15,22,Mythical
Scooby-Doo Mystery Incorporated,2,Heart of Evil,7.6,174.0,2012-08-16,22,Mechanical
Scooby-Doo Mystery Incorporated,2,Theater of Doom,8.6,180.0,2012-08-17,22,Undead
Scooby-Doo Mystery Incorporated,2,Aliens Among Us,8.0,172.0,2013-03-25,22,"Animal,Extraterrestrial"
Scooby-Doo Mystery Incorporated,2,The Horrible Herd,8.3,167.0,2013-03-25,22,Undead
Scooby-Doo Mystery Incorporated,2,Dance of the Undead,8.0,180.0,2013-03-26,22,Undead
Scooby-Doo Mystery Incorporated,2,The Devouring,7.8,166.0,2013-03-27,23,Mythical
Scooby-Doo Mystery Incorporated,2,Stand and Deliver,8.3,171.0,2013-03-28,22,Disguised
Scooby-Doo Mystery Incorporated,2,The Man in the Mirror,8.9,176.0,2013-03-29,22,Disguised
Scooby-Doo Mystery Incorporated,2,Nightmare in Red,8.9,187.0,2013-04-02,23,Animal
Scooby-Doo Mystery Incorporated,2,Dark Night of Hunters,8.4,165.0,2013-04-03,22,Magician
Scooby-Doo Mystery Incorporated,2,Gates of Gloom,8.7,169.0,2013-04-04,23,Mechanical
Scooby-Doo Mystery Incorporated,2,Through the Curtain,9.0,184.0,2013-04-05,22,Mythical
Scooby-Doo Mystery Incorporated,2,Come Undone,9.3,260.0,2013-04-05,22,"Ancient,Mythical"
"Be Cool, Scooby-Doo!",1,Mystery 101,7.9,122.0,2015-10-05,22,Ghost
"Be Cool, Scooby-Doo!",1,Game of Chicken,7.2,102.0,2015-10-06,22,Ancient
"Be Cool, Scooby-Doo!",1,All Pawns on Deck,7.4,101.0,2015-10-07,22,Animal
"Be Cool, Scooby-Doo!",1,Poodle Justice,7.3,85.0,2015-10-08,22,Possessed Object
"Be Cool, Scooby-Doo!",1,Grand Scam,7.3,78.0,2015-10-09,22,Ghost
